,id_ficha,fecha_entrada,tipo,titulo,estado
83,133923,2017-03-15,RESOLUCION  ,COMISION VINCULACION EMPRESAS CON FINANCIACION CAMPAÑAS ELECTORALES Y PARTIDOS POLITICOS (INVESTIGADORA). CREACION.,APRUEBA
84,132139,2016-10-14,PROYECTO DE RESOLUCION  ,CONVENCION NACIONAL TRABAJADORES (CNT).  50° ANIVERSARIO FUNDACION. CONMEMORACION. CONVOCATORIA.,EN_TRAMITE
85,131029,2016-08-03,LEY,PRODUCCION BASES AGROECOLOGICAS. INTERES GENERAL. DECLARACION. COMISION HONORARIA NACIONAL. CREACION.,PROMULGA
86,130766,2016-07-13,PROYECTO DE LEY,CODIGO CIVIL. MATRIMONIO. EDAD MÍNIMA. MODIFICACION.,EN_TRAMITE
87,128973,2016-04-06,PROYECTO DE LEY,VOTO OBSERVADO. EMISION. REGIMEN. MODIFICACION.,EN_TRAMITE
88,140424,2018-07-10,LEY,PALACIO LEGISLATIVO. INAUGURACIÓN. CENTENARIO. INTERÉS NACIONAL. DECLARACIÓN.,PROMULGA
89,132308,2016-10-27,PROYECTO DE LEY,FUNCIONARIOS POLICIALES. USO LEGAL DE LA FUERZA. LEGITIMA DEFENSA. PRESUNCION. MODIFICACION DEL ARTICULO 26 DEL CODIGO PENAL.,EN_TRAMITE
90,131814,2016-09-14,PROYECTO DE LEY,SECTOR FORESTAL. IMPUESTO ENSEÑANZA PRIMARIA. EXONERACIONES.,EN_TRAMITE
91,127929,2015-12-15,PROYECTO DE RESOLUCION,DECLARACIONES JOSE MUJICA CAMPAÑA ELECTORAL. INCONSTITUCIONALIDAD. CORTE ELECTORAL. CONSIDERACION. SOLICITUD.,EN_TRAMITE
92,126577,2015-09-15,PROYECTO DE LEY,LIBERTAD CONCIENCIA E IDEARIO. RECONOCIMIENTO. RECURSO HABEAS CONSCIENTIAM. CREACIÓN.,EN_TRAMITE
93,142562,2019-03-06,PROYECTO DE RESOLUCION  ,"FERREIRA ALDUNATE, Wilson. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
94,142226,2018-12-19,RESOLUCION,LENGUA DE SEÑAS. SESIONES CAMARA SENADORES. USO. AUTORIZACION.,APRUEBA
95,139152,2018-04-09,PROYECTO DE LEY,CÓDIGO PROCESO PENAL. MODIFICACIÓN. LIBERTAD ANTICIPADA. LÍMITE.,EN_TRAMITE
96,138818,2018-03-09,PROYECTO DE RESOLUCION  ,"FERREIRA ALDUNATE, Wilson. FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
97,136210,2017-08-09,DECLARACION,CAMBIO CLIMÁTICO. CONVENCIÓN MARCO NACIONES UNIDAS. COMPROMISO. DECLARACIÓN.,APRUEBA
98,135267,2017-06-13,RESOLUCION  ,SECTORES POLITICOS. PRESUNTOS FINANCIAMIENTOS ILEGALES. COMISION PREINVESTIGADORA. CREACION.,APRUEBA
99,134583,2017-04-27,RESOLUCION  ,HAITÍ. MISION PAZ ONU (MINUSTAH). FUERZAS ARMADAS. RECONOCIMIENTO.,APRUEBA
100,132925,2016-11-30,PROYECTO DE LEY,ALIMENTOS GENETICAMENTE MODIFICADOS. ETIQUETADO. REGLAMENTACION.,EN_TRAMITE
101,132672,2016-11-15,PROYECTO DE LEY,PLAGUICIDAS. MANEJO. REGULACIÓN. NORMAS.,EN_TRAMITE
102,132655,2016-11-14,PROYECTO DE LEY,TRATA DE PERSONAS. COMBATE. PREVENCIÓN. NORMAS.,EN_TRAMITE
103,130645,2016-07-06,PROYECTO DE LEY,GLIFOSATO. HERBICIDAS. USO. REGULACION.,EN_TRAMITE
104,130647,2016-07-06,PROYECTO DE LEY,DEFENSA CONSUMIDOR. BEBIDAS NO ALCOHOLICAS. CONTENIDO ETIQUETAS. INTERPRETACION.,EN_TRAMITE
105,130103,2016-06-07,LEY,PUEBLO COLÓN (LAVALLEJA). ANIVERSARIO FUNDACIÓN (100). FERIADO NO LABORABLE. DECLARACIÓN.,PROMULGA
106,129486,2016-05-05,PROYECTO DE LEY,SALTO (DEPARTAMENTO). ANIVERSARIO FUNDACION (260). FERIADO. DECLARACION.,EN_TRAMITE
107,128594,2016-03-08,DECLARACION,"CÁCERES, Berta. ORGANIZACIONES POPULARES E INDÍGENAS HONDURAS. PRESIDENTA. ASESINATO. JUSTICIA. RECLAMO. DECLARACIÓN.",APRUEBA
108,126823,2015-10-06,PROYECTO DE LEY,ESPACIO COSTERO. ORDENAMIENTO TERRITORIAL Y DESARROLLO SOSTENIBLE. NORMAS.,EN_TRAMITE
109,126518,2015-09-11,PROYECTO DE RESOLUCION  ,"GARCIA COSTA, Guillermo. PRIMER ANIVERSARIO FALLECIMIENTO. HOMENAJE.",EN_TRAMITE
110,123873,2015-03-24,PROYECTO DE LEY,PACIENTES CON TRATAMIENTO MEDICO EN EL EXTERIOR. TRASLADO. MILLAS PASAJES OFICIALES. USO.,EN_TRAMITE
111,143084,2019-04-02,PROYECTO DE MINUTA DE COMUNICACION,BUSTO PROCER JOSE ARTIGAS. UNIVERSIDAD ESTATAL SAN PETERSBURGO. DONACION.,EN_TRAMITE
112,142063,2018-12-05,PROYECTO DE LEY,LICENCIADO EN NUTRICIÓN. PROFESIÓN UNIVERSITARIA. REGULACIÓN MARCO JURÍDICO.,EN_TRAMITE
113,141848,2018-11-14,PROYECTO DE LEY,"TERRA, Gabriel. REPRESA. DENOMINACIÓN. MODIFICACIÓN.",EN_TRAMITE
