fecha,id,id_legislador,id_legislatura,id_proyecto,organismo
2018-10-03,417,10003,6,141458,ANP*
2018-10-03,418,10003,6,141458,OSE*
2018-10-03,419,10003,6,141458,ANCAP*
2018-10-03,420,10003,6,141458,UTE*
2018-10-03,421,10003,6,141458,BPS*
2018-10-03,422,10003,6,141458,ASSE*
2018-10-03,423,10003,6,141458,MGAP*
2018-10-03,424,10003,6,141458,INC*
2018-10-03,425,10003,6,141458,MINISTERIO TURISMO
2018-10-03,426,10003,6,141458,INAU*
2018-10-03,427,10003,6,141458,MEC*
2018-10-03,428,10003,6,141458,ONSC*
2018-10-03,429,10003,6,141458,MVOTMA*
2018-10-03,430,10003,6,141458,ANEP*
2018-10-03,431,10003,6,141458,OPP*
2018-10-03,432,10003,6,141458,ANC*
2018-10-03,433,10003,6,141458,MSP*
2018-10-03,434,10003,6,141458,MTSS*
2018-10-03,435,10003,6,141458,MDN*
2018-10-03,436,10003,6,141458,MIEM*
2018-10-03,437,10003,6,141458,JUTEP*
2018-10-03,438,10003,6,141458,MIDES*
2018-10-03,439,10003,6,141458,ANV*
2018-10-03,440,10003,6,141458,UTEC*
2018-10-03,441,10003,6,141458,INUMET*
2018-10-03,442,10003,6,141458,FISCALIA GENERAL NACION
2018-10-03,443,10003,6,141458,INISA*
2018-08-02,444,10003,6,140680,BROU*
2018-08-02,445,10003,6,140680,DGI*
2018-04-03,446,10003,6,139090,DIRECCION NACIONAL LOTERIAS Y QUINIELAS
2018-03-19,447,10003,6,138939,ANEP*
2016-06-09,448,10003,6,130524,ONSC*
2015-07-07,449,10003,6,125359,MTSS*
2015-06-03,450,10003,6,124900,MSP*
2015-06-02,451,10003,6,124897,MSP*
2018-12-05,452,10003,6,142063,
2017-12-19,453,10003,6,137958,
2017-12-06,454,10003,6,137830,
2017-08-09,455,10003,6,136210,
2017-06-13,456,10003,6,135267,
2017-04-27,457,10003,6,134583,
2017-04-05,458,10003,6,134340,
2016-11-30,459,10003,6,132925,
2016-10-27,460,10003,6,132308,
2016-09-14,461,10003,6,131814,
2015-12-15,462,10003,6,127929,
2015-11-03,463,10003,6,127178,
2015-10-06,464,10003,6,126823,
2015-09-11,465,10003,6,126518,
2015-06-18,466,10003,6,125087,
2015-06-17,467,10003,6,125053,
2015-06-16,468,10003,6,125024,
2015-06-16,469,10003,6,125025,
2015-03-03,470,10003,6,123532,
2019-04-02,471,598,6,143078,DGI*
2019-02-26,472,598,6,142515,TRIBUNAL CUENTAS
2018-10-05,473,598,6,141479,MEF*
2018-10-05,474,598,6,141479,MTOP*
2018-10-05,475,598,6,141479,OPP*
2018-10-02,476,598,6,141415,MINISTERIO INTERIOR
2018-08-21,477,598,6,140929,ANTEL*
2018-08-21,478,598,6,140929,ANCAP*
2018-08-21,479,598,6,140929,UTE*
2018-08-21,480,598,6,140929,BPS*
2018-08-21,481,598,6,140929,ONSC*
2018-06-21,482,598,6,140187,MSP*
2018-06-06,483,598,6,140013,MTSS*
2018-05-29,484,598,6,139905,ANTEL*
2018-03-13,485,598,6,138857,MEF*
2018-03-13,486,598,6,138857,OPP*
2017-10-03,487,598,6,136834,MVOTMA*
2017-09-13,488,598,6,136640,AFE*
2017-07-26,489,598,6,135903,MTOP*
2017-05-31,490,598,6,135046,MTOP*
2017-05-31,491,598,6,135047,OSE*
2016-12-13,492,598,6,133136,MINISTERIO INTERIOR
2016-11-30,493,598,6,132926,MDN*
2015-11-04,494,598,6,127180,BPS*
2015-08-18,495,598,6,126059,SODRE*
2015-08-18,496,598,6,126063,ANTEL*
2018-12-14,497,598,6,142181,
2018-11-13,498,598,6,141815,
2018-06-06,499,598,6,140068,
2018-03-14,500,598,6,138873,
2018-03-13,501,598,6,138855,
2018-03-09,502,598,6,138818,
2018-02-21,503,598,6,138471,
2017-12-06,504,598,6,137830,
2017-10-03,505,598,6,136846,
2017-09-05,506,598,6,136527,
2017-08-01,507,598,6,135993,
2016-11-30,508,598,6,132925,
2016-10-27,509,598,6,132308,
2016-09-14,510,598,6,131814,
2015-11-03,511,598,6,127178,
2015-09-15,512,598,6,126567,
2015-08-12,513,598,6,125989,
2015-08-04,514,598,6,125745,
2015-07-15,515,598,6,125513,
2015-06-01,516,598,6,124753,
2015-03-17,517,598,6,123750,
2015-03-04,518,598,6,123525,
2015-03-03,519,598,6,123450,
2015-03-03,520,598,6,123493,
2015-03-03,521,598,6,123494,
2017-07-26,522,277,6,135905,ONSC*
2017-07-24,523,277,6,135884,CORTE ELECTORAL
2017-12-06,524,277,6,137830,
2017-11-07,525,277,6,137375,
2017-11-01,526,277,6,137300,
2017-07-12,527,277,6,135668,
2017-06-29,528,277,6,135482,
2017-06-07,529,277,6,135165,
2017-05-16,530,277,6,134850,
2017-04-04,531,277,6,134288,
2017-03-03,532,277,6,133711,
2016-11-30,533,277,6,132929,
2016-11-22,534,277,6,132804,
2016-11-14,535,277,6,132655,
2016-10-18,536,277,6,132117,
2016-10-18,537,277,6,132114,
2016-08-03,538,277,6,131029,
2016-06-15,539,277,6,130280,
2016-03-02,540,277,6,128446,
2016-02-16,541,277,6,128332,
2015-11-10,542,277,6,127268,
2015-08-10,543,277,6,125874,
2015-07-01,544,277,6,125290,
2015-07-01,545,277,6,125289,
2015-07-01,546,277,6,125291,
