asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_comision,id_senador,licencia,otras_comisiones
1,1,0,0,2016-08-11 00:00:00,312,9891,0,0
1,1,0,0,2016-08-29 00:00:00,312,9891,0,0
1,1,0,0,2016-09-01 00:00:00,312,9891,0,0
1,1,0,0,2016-10-06 00:00:00,312,9891,0,0
0,1,1,0,2016-10-13 00:00:00,312,9891,0,0
1,1,0,0,2016-11-03 00:00:00,312,9891,0,0
1,1,0,0,2016-12-01 00:00:00,312,9891,0,0
0,1,1,0,2016-12-08 00:00:00,312,9891,0,0
1,1,0,0,2017-02-02 00:00:00,312,9891,0,0
0,1,1,0,2017-03-02 00:00:00,312,9891,0,0
1,1,0,0,2017-03-16 00:00:00,312,9891,0,0
0,1,1,0,2017-04-06 00:00:00,312,9891,0,0
0,1,1,0,2017-04-20 00:00:00,312,9891,0,0
0,1,1,0,2017-05-04 00:00:00,312,9891,0,0
1,1,0,0,2017-05-18 00:00:00,312,9891,0,0
1,1,0,0,2017-06-01 00:00:00,312,9891,0,0
1,1,0,0,2017-06-08 00:00:00,312,9891,0,0
1,1,0,0,2017-06-15 00:00:00,312,9891,0,0
0,1,1,0,2017-07-06 00:00:00,312,9891,0,0
0,1,1,0,2017-07-13 00:00:00,312,9891,0,0
1,1,0,0,2017-08-03 00:00:00,312,9891,0,0
1,1,0,0,2017-08-10 00:00:00,312,9891,0,0
1,1,0,0,2017-08-17 00:00:00,312,9891,0,0
1,1,0,0,2017-09-25 00:00:00,312,9891,0,0
1,1,0,0,2017-10-05 00:00:00,312,9891,0,0
0,1,1,0,2017-10-12 00:00:00,312,9891,0,0
1,1,0,0,2017-11-09 00:00:00,312,9891,0,0
1,1,0,0,2017-12-07 00:00:00,312,9891,0,0
1,1,0,0,2017-12-14 00:00:00,312,9891,0,0
1,1,0,0,2018-03-07 00:00:00,312,9891,0,0
1,1,0,0,2018-04-12 00:00:00,312,9891,0,0
0,1,1,0,2018-04-19 00:00:00,312,9891,0,0
0,1,1,0,2018-05-03 00:00:00,312,9891,0,0
1,1,0,0,2018-05-10 00:00:00,312,9891,0,0
1,1,0,0,2018-05-31 00:00:00,312,9891,0,0
1,1,0,0,2018-06-07 00:00:00,312,9891,0,0
1,1,0,0,2018-06-14 00:00:00,312,9891,0,0
1,1,0,0,2018-07-19 00:00:00,312,9891,0,0
1,1,0,0,2018-08-02 00:00:00,312,9891,0,0
1,1,0,0,2018-08-09 00:00:00,312,9891,0,0
1,1,0,0,2018-08-16 00:00:00,312,9891,0,0
1,1,0,0,2018-08-23 00:00:00,312,9891,0,0
0,1,1,0,2018-10-04 00:00:00,312,9891,0,0
1,1,0,0,2018-10-11 00:00:00,312,9891,0,0
1,1,0,0,2018-10-18 00:00:00,312,9891,0,0
0,1,1,0,2018-11-01 00:00:00,312,9891,0,0
0,1,1,0,2018-11-08 00:00:00,312,9891,0,0
0,1,1,0,2018-12-06 00:00:00,312,9891,0,0
1,1,0,0,2018-12-13 00:00:00,312,9891,0,0
1,1,0,0,2019-03-14 00:00:00,312,9891,0,0
1,1,0,0,2019-04-04 00:00:00,312,9891,0,0
1,1,0,0,2019-04-11 00:00:00,312,9891,0,0
1,1,0,0,2015-04-13 00:00:00,927,9891,0,0
1,1,0,0,2015-05-11 00:00:00,927,9891,0,0
1,1,0,0,2015-05-25 00:00:00,927,9891,0,0
1,1,0,0,2015-06-01 00:00:00,927,9891,0,0
1,1,0,0,2015-06-08 00:00:00,927,9891,0,0
0,1,1,0,2015-06-15 00:00:00,927,9891,0,0
0,1,1,0,2015-07-06 00:00:00,927,9891,0,0
1,1,0,0,2015-07-13 00:00:00,927,9891,0,0
0,1,1,0,2015-07-20 00:00:00,927,9891,0,0
1,1,0,0,2015-07-27 00:00:00,927,9891,0,0
1,1,0,0,2015-08-03 00:00:00,927,9891,0,0
1,1,0,0,2015-08-10 00:00:00,927,9891,0,0
