,estado,fecha_entrada,id_ficha,id_senador,organismo,tipo,titulo,nombre
72,REALIZADO,2018-06-05,139983,9927,MTOP*,PEDIDO DE INFORME,AFE. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFORMES.,"Facello, Guillermo"
73,REALIZADO,2018-05-16,139761,9927,MEF*,PEDIDO DE INFORME,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,"Facello, Guillermo"
74,REALIZADO,2018-05-16,139762,9927,MRREE*,PEDIDO DE INFORME,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,"Facello, Guillermo"
75,REALIZADO,2018-05-16,139763,9927,MIEM*,PEDIDO DE INFORME,TLC UNION EUROPEA Y MERCOSUR. REGIMEN ESPECIAL ADMISION TEMPORARIA. POSICIONES. INFORMES.,"Facello, Guillermo"
76,REALIZADO,2017-12-05,137760,9927,MEF*,PEDIDO DE INFORME,BROU. REESTRUCTURA SERVICIOS. SITUACION. INFORMES.,"Facello, Guillermo"
77,REALIZADO,2017-10-17,137129,9927,MTOP*,PEDIDO DE INFORME,RUTAS NACIONALES 27 Y 30 (RIVERA). OBRAS REPARACION. INFORMES.,"Facello, Guillermo"
78,REALIZADO,2017-05-02,134604,9927,MEC*,PEDIDO DE INFORME,LICEO DOLORES (SORIANO). SITUACION. INFORMES.,"Facello, Guillermo"
79,REALIZADO,2017-04-04,134312,9927,MVOTMA*,PEDIDO DE INFORME,CONSTRUCCION VIVIENDAS PARQUE MIRAMAR (CANELONES). NORMATIVA MEDIOAMBIENTAL. INFORMES.,"Facello, Guillermo"
80,REALIZADO,2016-12-06,133037,9927,MEC*,PEDIDO DE INFORME,"CASTRO, Fidel. FALLECIMIENTO. COBERTURA ESPECIAL. SODRE. INFORMES.","Facello, Guillermo"
81,REALIZADO,2016-11-17,132735,9927,MIEM*,PEDIDO DE INFORME,ANCAP. VENTA ACCIONES CARBOCLOR VIA ANCSOL S.A. INFORMES.,"Facello, Guillermo"
82,REALIZADO,2016-10-31,132422,9927,MTOP*,PEDIDO DE INFORME,ADMINISTRACION NACIONAL PUERTOS. PLAN MAESTRO. IMPLEMENTACION. INFORMES.,"Facello, Guillermo"
83,REALIZADO,2016-10-31,132424,9927,MTOP*,PEDIDO DE INFORME,ADMINISTRACION NACIONAL PUERTOS. SITUACION FINANCIERA TERMINAL CUENCA PLATA. AUDITORIAS CONTRATADAS. INFORMES.,"Facello, Guillermo"
84,REALIZADO,2016-10-31,132425,9927,MTOP*,PEDIDO DE INFORME,ADMINISTRACION NACIONAL PUERTOS. APORTE ACCIONES TERMINAL CUENCA PLATA. INFORMES.,"Facello, Guillermo"
85,REALIZADO,2016-10-04,131915,9927,MSP*,PEDIDO DE INFORME,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MSP. INFORMES.,"Facello, Guillermo"
86,REALIZADO,2016-10-04,131914,9927,MIDES*,PEDIDO DE INFORME,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MIDES. INFORMES.,"Facello, Guillermo"
87,REALIZADO,2016-10-04,131916,9927,MDN*,PEDIDO DE INFORME,TORNADO DOLORES (SORIANO). SITUACION. ACCIONES MDN. INFORMES.,"Facello, Guillermo"
88,REALIZADO,2016-10-04,132064,9927,MVOTMA*,PEDIDO DE INFORME,TORNADO DOLORES (SORIANO). ACCIONES MVOTMA. INFORMES.,"Facello, Guillermo"
89,REALIZADO,2016-10-04,131917,9927,MIDES*,PEDIDO DE INFORME,EMBARAZO ADOLESCENTE. DATOS APORTADOS UDELAR - ONU. INFORMES.,"Facello, Guillermo"
90,REALIZADO,2016-10-04,131913,9927,MTOP*,PEDIDO DE INFORME,TORNADO DOLORES. SITUACION. ACCIONES MTOP. INFORMES.,"Facello, Guillermo"
91,REALIZADO,2016-10-04,131905,9927,MVOTMA*,PEDIDO DE INFORME,AGENCIA NACIONAL VIVIENDA.  VIVIENDAS PROMOVIDAS Y CONSTRUIDAS. EXONERACION IMPOSITIVA. INFORMES.,"Facello, Guillermo"
92,REALIZADO,2016-09-26,131773,9927,MVOTMA*,PEDIDO DE INFORME,VIVIENDAS MEVIR. BENEFICIARIOS. INFORMES.,"Facello, Guillermo"
93,REALIZADO,2016-09-26,131774,9927,SUPREMA CORTE JUSTICIA,PEDIDO DE INFORME,MORGUES JUDICIALES. MEDICOS FORENSES. RECLAMOS. INFORMES.,"Facello, Guillermo"
94,REALIZADO,2016-09-07,131543,9927,MTOP*,PEDIDO DE INFORME,PLUNA. LIQUIDACION ENTE AUTONOMO. APLICACION ART. 398 LEY 19.355. INFORMES.,"Facello, Guillermo"
95,REALIZADO,2016-09-07,131547,9927,MTSS*,PEDIDO DE INFORME,"PROGRAMA YO ESTUDIO Y TRABAJO. PERIODO 2012 - 2016. SOLICITUDES RECIBIDAS, INFORMES,","Facello, Guillermo"
96,REALIZADO,2019-02-01,142456,5167,MTOP*,PEDIDO DE INFORME,SISTEMA INTEGRAL CONTROL TRANSPORTE CARGA (SICTRAC). EMPRESAS PRESTADORAS SERVICIO. HOMOLOGACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
97,REALIZADO,2018-11-22,141948,5167,OSE*,PEDIDO DE INFORME,PLANTA POTABILIZADORA AGUAS CORRIENTES (CANELONES). SERVICIOS TRATAMIENTO DE AGUAS Y ANÁLISIS LABORATORIO. PRIVATIZACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
98,REALIZADO,2018-10-31,141709,5167,ANEP*,PEDIDO DE INFORME,CENSO DOCENTE 2018. ANEP. MANEJO DATOS. INFORMES,"Lacalle Pou, Luis Alberto"
99,REALIZADO,2018-10-22,141601,5167,INISA*,PEDIDO DE INFORME,CENTROS INISA Y COLONIA BERRO. HIGIENE. FUMIGACIÓN. INFORMES.,"Lacalle Pou, Luis Alberto"
100,REALIZADO,2018-08-13,140776,5167,MRREE*,PEDIDO DE INFORME,CONDENA HAMAS. ASAMBLEA GENERAL NACIONES UNIDAS. VOTACIÓN URUGUAY. INFORMES.,"Lacalle Pou, Luis Alberto"
101,REALIZADO,2018-08-03,140687,5167,INDA*,PEDIDO DE INFORME,PROGRAMAS APOYO ALIMENTACIÓN INDA. MODIFICACIONES. INFORMES.,"Lacalle Pou, Luis Alberto"
