,id_senador,titulo,fecha_entrada,id_ficha,organismo,tipo,estado,nombre
90,9927,AGENCIA NACIONAL VIVIENDA.  VIVIENDAS PROMOVIDAS Y CONSTRUIDAS. EXONERACION IMPOSITIVA. INFORMES.,2016-10-04,131905,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
91,9927,VIVIENDAS MEVIR. BENEFICIARIOS. INFORMES.,2016-09-26,131773,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
92,9927,MORGUES JUDICIALES. MEDICOS FORENSES. RECLAMOS. INFORMES.,2016-09-26,131774,SUPREMA CORTE JUSTICIA,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
93,9927,PLUNA. LIQUIDACION ENTE AUTONOMO. APLICACION ART. 398 LEY 19.355. INFORMES.,2016-09-07,131543,MTOP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
94,9927,"PROGRAMA YO ESTUDIO Y TRABAJO. PERIODO 2012 - 2016. SOLICITUDES RECIBIDAS, INFORMES,",2016-09-07,131547,MTSS*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
95,5167,SISTEMA INTEGRAL CONTROL TRANSPORTE CARGA (SICTRAC). EMPRESAS PRESTADORAS SERVICIO. HOMOLOGACIÓN. INFORMES.,2019-02-01,142456,MTOP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
96,5167,PLANTA POTABILIZADORA AGUAS CORRIENTES (CANELONES). SERVICIOS TRATAMIENTO DE AGUAS Y ANÁLISIS LABORATORIO. PRIVATIZACIÓN. INFORMES.,2018-11-22,141948,OSE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
97,5167,CENSO DOCENTE 2018. ANEP. MANEJO DATOS. INFORMES,2018-10-31,141709,ANEP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
98,5167,CENTROS INISA Y COLONIA BERRO. HIGIENE. FUMIGACIÓN. INFORMES.,2018-10-22,141601,INISA*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
99,5167,CONDENA HAMAS. ASAMBLEA GENERAL NACIONES UNIDAS. VOTACIÓN URUGUAY. INFORMES.,2018-08-13,140776,MRREE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
100,5167,PROGRAMAS APOYO ALIMENTACIÓN INDA. MODIFICACIONES. INFORMES.,2018-08-03,140687,INDA*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
101,5167,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,2018-07-16,140518,MTSS*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
102,5167,"PESCA. FINES INVESTIGACIÓN, CIENTÍFICOS Y DOCENTES. PERMISOS. REGLAMENTACIÓN. INFORMES.",2018-07-10,140439,MGAP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
103,5167,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO URBANÍSTICO - TURÍSTICO. PROYECTO. INFORMES.,2018-07-02,140314,MINISTERIO TURISMO,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
104,5167,ASAMBLEA GENERAL ONU. ENMIENDA PROPUESTA EEUU. VOTACIÓN URUGUAY. INFORMES.,2018-06-21,140190,MRREE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
105,5167,ASAMBLEA GENERAL OEA. 48º PERÍODO ORDINARIO SESIONES. REPRESENTACIÓN URUGUAY. INFORMES.,2018-06-07,140044,MRREE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
106,5167,BRAZO LAGUNA GARZÓN (MALDONADO). DESARROLLO TURÍSTICO Y URBANÍSTICO. PROYECTO. INFORMES,2018-06-02,140313,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
107,5167,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,2018-05-14,139698,MINISTERIO TURISMO,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
108,5167,URUGUAY. MARCA PAIS. COPA MUNDIAL FIFA RUSIA 2018. PROMOCIÓN. INFORMES.,2018-05-14,139696,MRREE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
109,5167,RUSIA. COPA MUNDIAL FIFA. URUGUAY. PROMOCIÓN. INFORMES.,2018-05-14,139699,SECRETARIA NACIONAL DEPORTE,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
110,5167,PEONES PRÁCTICOS Y OBREROS NO ESPECIALIZADOS. OBRAS DEL ESTADO (LEY 18516). APLICACIÓN. INFORMES.,2018-05-08,139708,MTSS*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
111,5167,JEFATURAS DE POLICÍA DE MONTEVIDEO Y CANELONES. COMPROMISO CON LA GESTIÓN. INFORMES.,2018-01-30,138215,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
112,5167,EQUIPO DE DRAGADO MULTIPROPÓSITO. ADQUISICIÓN. LICITACIÓN PÚBLICA. ADJUDICACIÓN. INFORMES.,2017-09-14,136690,ANP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
113,5167,INMUEBLES RURALES Y EXPLOTACIONES AGROPECUARIAS. DERECHO PROPIEDAD. TITULARIDAD. EXCEPCIONES. INFORMES.,2017-07-03,135525,MGAP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
114,5167,MINISTERIO INTERIOR. FUNCIONARIOS. SITUACION. INFORMES.,2017-06-27,135462,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
115,5167,MINISTERIO INTERIOR. FUNCIONARIOS. DERECHOS Y OBLIGACIONES. INFORMES.,2017-06-27,135463,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
116,5167,FONDO TUTELA SOCIAL POLICIAL. FUNCIONAMIENTO. INFORMES,2017-06-27,135461,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
117,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ARMADA NACIONAL,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
118,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MRREE*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
119,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,ANP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
120,5167,PUERTO LA PALOMA (ROCHA). PROYECTO PESQUERO. INFORMES.,2017-05-30,135025,MGAP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
121,5167,VIOLENCIA DOMÉSTICA. JUZGADOS. DENUNCIAS Y DIAGNÓSTICOS. SITUACIÓN. INFORMES.,2017-05-08,134794,SUPREMA CORTE JUSTICIA,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
122,5167,VIOLENCIA DOMÉSTICA Y DE GÉNERO. UNIDADES ESPECIALIZADAS. FUNCIONAMIENTO. INFORMES.,2017-05-08,134798,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
123,5167,CHINA. SOJA. EXPORTACIÓN. REQUISITOS FITOSANITARIOS. PROTOCOLO. INFORMES.,2017-05-02,134640,MGAP*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
124,5167,ESTADIO CENTENARIO. SISTEMA DE IDENTIFICACION FACIAL. FALLOS SISTEMA. INFORMES.,2017-04-25,134515,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
125,5167,FÁBRICA FUEGOS ARTIFICIALES. TOLEDO (CANELONES). HABILITACIÓN. INFORMES.,2017-04-24,134499,INSPECCION TRABAJO Y SEGURIDAD SOCIAL (GENERAL),PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
126,5167,MINERA ARATIRI. NUEVO GRUPO INVERSOR. NEGOCIACIONES. INFORMES.,2017-04-24,134501,MIEM*,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
127,5167,POLICÍA CAMINERA. DESTACAMENTOS. FUNCIONARIOS Y VEHÍCULOS. INFORMES.,2017-03-23,134096,POLICIA CAMINERA,PEDIDO_INFORME,REALIZADO,"Lacalle Pou, Luis Alberto"
